% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
3.663	1	1	367	4	1	14	1527	14	1527
3.67	1	1	368	1	1	0	0	14	1527
3.676	1	1	368	7	1	14	1527	14	1527
3.677	1	1	368	8	1	14	1527	14	1527
3.678	1	1	368	9	1	14	1527	14	1527
3.691	1	1	370	2	1	14	1527	14	1527
3.692	1	1	370	3	1	14	1527	14	1527
3.693	1	1	370	4	1	14	1527	14	1527
3.706	1	1	371	7	1	14	1527	14	1527
3.707	1	1	371	8	1	14	1527	14	1527
3.708	1	1	371	9	1	14	1527	14	1527
3.721	1	1	373	2	1	14	1527	14	1527
3.722	1	1	373	3	1	14	1527	14	1527
3.723	1	1	373	4	1	14	1527	14	1527
3.736	1	1	374	7	1	14	1527	14	1527
3.737	1	1	374	8	1	14	1527	14	1527
3.738	1	1	374	9	1	14	1527	14	1527
3.751	1	1	376	2	1	14	1527	14	1527
3.752	1	1	376	3	1	14	1527	14	1527
3.753	1	1	376	4	1	14	1527	14	1527
3.766	1	1	377	7	1	14	1527	14	1527
3.767	1	1	377	8	1	14	1527	14	1527
3.768	1	1	377	9	1	14	1527	14	1527
3.769	1	1	377	10	1	14	1527	14	1527
3.776	1	1	378	7	1	0	0	14	1527
3.781	1	1	379	2	1	14	1527	14	1527
3.782	1	1	379	3	1	14	1527	14	1527
3.783	1	1	379	4	1	14	1527	14	1527
3.784	1	1	379	5	1	14	1527	14	1527
3.791	1	1	380	2	1	0	0	14	1527
3.796	1	1	380	7	1	14	1527	14	1527
3.797	1	1	380	8	1	14	1527	14	1527
3.798	1	1	380	9	1	14	1527	14	1527
3.799	1	1	380	10	1	14	1527	14	1527
3.806	1	1	381	7	1	0	0	14	1527
3.811	1	1	382	2	1	14	1527	14	1527
3.812	1	1	382	3	1	14	1527	14	1527
3.813	1	1	382	4	1	14	1527	14	1527
3.814	1	1	382	5	1	14	1527	14	1527
3.821	1	1	383	2	1	0	0	14	1527
3.826	1	1	383	7	1	14	1527	14	1527
3.827	1	1	383	8	1	14	1527	14	1527
3.828	1	1	383	9	1	14	1527	14	1527
3.829	1	1	383	10	1	14	1527	14	1527
3.836	1	1	384	7	1	0	0	14	1527
3.841	1	1	385	2	1	14	1527	14	1527
3.842	1	1	385	3	1	14	1527	14	1527
3.843	1	1	385	4	1	14	1527	14	1527
3.844	1	1	385	5	1	14	1527	14	1527
3.851	1	1	386	2	1	0	0	14	1527
3.856	1	1	386	7	1	14	1527	14	1527
3.857	1	1	386	8	1	14	1527	14	1527
3.871	1	1	388	2	1	14	1527	14	1527
3.872	1	1	388	3	1	14	1527	14	1527
3.886	1	1	389	7	1	14	1527	14	1527
3.887	1	1	389	8	1	14	1527	14	1527
3.901	1	1	391	2	1	14	1527	14	1527
3.902	1	1	391	3	1	14	1527	14	1527
3.916	1	1	392	7	1	14	1527	14	1527
3.917	1	1	392	8	1	14	1527	14	1527
3.931	1	1	394	2	1	14	1527	14	1527
3.932	1	1	394	3	1	14	1527	14	1527
3.946	1	1	395	7	1	14	1527	14	1527
3.947	1	1	395	8	1	14	1527	14	1527
3.948	1	1	395	9	1	14	1527	14	1527
3.955	1	1	396	6	1	0	0	14	1527
3.961	1	1	397	2	1	14	1527	14	1527
3.962	1	1	397	3	1	14	1527	14	1527
3.976	1	1	398	7	1	14	1527	14	1527
3.977	1	1	398	8	1	14	1527	14	1527
3.978	1	1	398	9	1	14	1527	14	1527
3.985	1	1	399	6	1	0	0	14	1527
3.991	1	1	400	2	1	14	1527	14	1527
3.992	1	1	400	3	1	14	1527	14	1527
3.993	1	1	400	4	1	14	1527	14	1527
4	1	1	401	1	1	0	0	14	1527
4.006	1	1	401	7	1	14	1527	14	1527
4.007	1	1	401	8	1	14	1527	14	1527
4.008	1	1	401	9	1	14	1527	14	1527
