% time	cellId	IMSI	RNTI	sinrLinear
0.041	1	1	1	1.64215e+06
0.041	2	2	1	1.64215e+06
0.081	1	1	1	1.64215e+06
0.081	2	2	1	1.64215e+06
0.121	1	1	1	1.64215e+06
0.121	2	2	1	1.64215e+06
0.161	1	1	1	1.64215e+06
0.161	2	2	1	1.64215e+06
0.201	1	1	1	1.64215e+06
0.201	2	2	1	1.64215e+06
0.241	1	1	1	1.64215e+06
0.241	2	2	1	1.64215e+06
0.281	1	1	1	1.64215e+06
0.281	2	2	1	1.64215e+06
0.321	1	1	1	1.64215e+06
0.321	2	2	1	1.64215e+06
0.361	1	1	1	1.64215e+06
0.361	2	2	1	1.64215e+06
0.401	1	1	1	1.64215e+06
0.401	2	2	1	1.64215e+06
0.441	1	1	1	1.64215e+06
0.441	2	2	1	1.64215e+06
0.481	1	1	1	1.64215e+06
0.481	2	2	1	1.64215e+06
0.521	1	1	1	1.64215e+06
0.521	2	2	1	1.64215e+06
0.561	1	1	1	1.64215e+06
0.561	2	2	1	1.64215e+06
0.601	1	1	1	1.64215e+06
0.601	2	2	1	1.64215e+06
0.641	1	1	1	1.64215e+06
0.641	2	2	1	1.64215e+06
0.681	1	1	1	1.64215e+06
0.681	2	2	1	1.64215e+06
0.721	1	1	1	1.64215e+06
0.721	2	2	1	1.64215e+06
0.761	1	1	1	1.64215e+06
0.761	2	2	1	1.64215e+06
0.801	1	1	1	1.64215e+06
0.801	2	2	1	1.64215e+06
0.841	1	1	1	1.64215e+06
0.841	2	2	1	1.64215e+06
0.881	1	1	1	1.64215e+06
0.881	2	2	1	1.64215e+06
0.921	1	1	1	1.64215e+06
0.921	2	2	1	1.64215e+06
0.961	1	1	1	1.64215e+06
0.961	2	2	1	1.64215e+06
1.001	1	1	1	1.64215e+06
1.001	2	2	1	1.64215e+06
1.041	1	1	1	1.64215e+06
1.041	2	2	1	1.64215e+06
1.081	1	1	1	1.64215e+06
1.081	2	2	1	1.64215e+06
1.121	1	1	1	1.64215e+06
1.121	2	2	1	1.64215e+06
1.161	1	1	1	1.64215e+06
1.161	2	2	1	1.64215e+06
1.201	1	1	1	1.64215e+06
1.201	2	2	1	1.64215e+06
1.241	1	1	1	1.64215e+06
1.241	2	2	1	1.64215e+06
1.281	1	1	1	1.64215e+06
1.281	2	2	1	1.64215e+06
1.321	1	1	1	1.64215e+06
1.321	2	2	1	1.64215e+06
1.361	1	1	1	1.64215e+06
1.361	2	2	1	1.64215e+06
1.401	1	1	1	1.64215e+06
1.401	2	2	1	1.64215e+06
1.441	1	1	1	1.64215e+06
1.441	2	2	1	1.64215e+06
1.481	1	1	1	1.64215e+06
1.481	2	2	1	1.64215e+06
1.521	1	1	1	1.64215e+06
1.521	2	2	1	1.64215e+06
1.561	1	1	1	1.64215e+06
1.561	2	2	1	1.64215e+06
1.601	1	1	1	1.64215e+06
1.601	2	2	1	1.64215e+06
1.641	1	1	1	1.64215e+06
1.641	2	2	1	1.64215e+06
1.681	1	1	1	1.64215e+06
1.681	2	2	1	1.64215e+06
1.721	1	1	1	1.64215e+06
1.721	2	2	1	1.64215e+06
1.761	1	1	1	1.64215e+06
1.761	2	2	1	1.64215e+06
1.801	1	1	1	1.64215e+06
1.801	2	2	1	1.64215e+06
1.841	1	1	1	1.64215e+06
1.841	2	2	1	1.64215e+06
1.881	1	1	1	1.64215e+06
1.881	2	2	1	1.64215e+06
1.921	1	1	1	1.64215e+06
1.921	2	2	1	1.64215e+06
1.961	1	1	1	1.64215e+06
1.961	2	2	1	1.64215e+06
2.001	1	1	1	1.64215e+06
2.001	2	2	1	1.64215e+06
2.041	1	1	1	1.64215e+06
2.041	2	2	1	1.64215e+06
2.081	1	1	1	1.64215e+06
2.081	2	2	1	1.64215e+06
2.121	1	1	1	1.64215e+06
2.121	2	2	1	1.64215e+06
2.161	1	1	1	1.64215e+06
2.161	2	2	1	1.64215e+06
2.201	1	1	1	1.64215e+06
2.201	2	2	1	1.64215e+06
2.241	1	1	1	1.64215e+06
2.241	2	2	1	1.64215e+06
2.281	1	1	1	1.64215e+06
2.281	2	2	1	1.64215e+06
2.321	1	1	1	1.64215e+06
2.321	2	2	1	1.64215e+06
2.361	1	1	1	1.64215e+06
2.361	2	2	1	1.64215e+06
2.401	1	1	1	1.64215e+06
2.401	2	2	1	1.64215e+06
2.441	1	1	1	1.64215e+06
2.441	2	2	1	1.64215e+06
2.481	1	1	1	1.64215e+06
2.481	2	2	1	1.64215e+06
2.521	1	1	1	1.64215e+06
2.521	2	2	1	1.64215e+06
2.561	1	1	1	1.64215e+06
2.561	2	2	1	1.64215e+06
2.601	1	1	1	1.64215e+06
2.601	2	2	1	1.64215e+06
2.641	1	1	1	1.64215e+06
2.641	2	2	1	1.64215e+06
2.681	1	1	1	1.64215e+06
2.681	2	2	1	1.64215e+06
2.721	1	1	1	1.64215e+06
2.721	2	2	1	1.64215e+06
2.761	1	1	1	1.64215e+06
2.761	2	2	1	1.64215e+06
2.801	1	1	1	1.64215e+06
2.801	2	2	1	1.64215e+06
2.841	1	1	1	1.64215e+06
2.841	2	2	1	1.64215e+06
2.881	1	1	1	1.64215e+06
2.881	2	2	1	1.64215e+06
2.921	1	1	1	1.64215e+06
2.921	2	2	1	1.64215e+06
2.961	1	1	1	1.64215e+06
2.961	2	2	1	1.64215e+06
3.001	1	1	1	1.64215e+06
3.001	2	2	1	1.64215e+06
3.041	1	1	1	1.64215e+06
3.041	2	2	1	1.64215e+06
3.081	1	1	1	1.64215e+06
3.081	2	2	1	1.64215e+06
3.121	1	1	1	1.64215e+06
3.121	2	2	1	1.64215e+06
3.161	1	1	1	1.64215e+06
3.161	2	2	1	1.64215e+06
3.201	1	1	1	1.64215e+06
3.201	2	2	1	1.64215e+06
3.241	1	1	1	1.64215e+06
3.241	2	2	1	1.64215e+06
3.281	1	1	1	1.64215e+06
3.281	2	2	1	1.64215e+06
3.321	1	1	1	1.64215e+06
3.321	2	2	1	1.64215e+06
3.361	1	1	1	1.64215e+06
3.361	2	2	1	1.64215e+06
3.401	1	1	1	1.64215e+06
3.401	2	2	1	1.64215e+06
3.441	1	1	1	1.64215e+06
3.441	2	2	1	1.64215e+06
3.481	1	1	1	1.64215e+06
3.481	2	2	1	1.64215e+06
3.521	1	1	1	1.64215e+06
3.521	2	2	1	1.64215e+06
3.561	1	1	1	1.64215e+06
3.561	2	2	1	1.64215e+06
3.601	1	1	1	1.64215e+06
3.601	2	2	1	1.64215e+06
3.641	1	1	1	1.64215e+06
3.641	2	2	1	1.64215e+06
3.681	1	1	1	1.64215e+06
3.681	2	2	1	1.64215e+06
3.721	1	1	1	1.64215e+06
3.721	2	2	1	1.64215e+06
3.761	1	1	1	1.64215e+06
3.761	2	2	1	1.64215e+06
3.801	1	1	1	1.64215e+06
3.801	2	2	1	1.64215e+06
3.841	1	1	1	1.64215e+06
3.841	2	2	1	1.64215e+06
3.881	1	1	1	1.64215e+06
3.881	2	2	1	1.64215e+06
3.921	1	1	1	1.64215e+06
3.921	2	2	1	1.64215e+06
3.961	1	1	1	1.64215e+06
3.961	2	2	1	1.64215e+06
4.001	1	1	1	1.64215e+06
4.001	2	2	1	1.64215e+06
4.041	1	1	1	1.64215e+06
4.041	2	2	1	1.64215e+06
4.081	1	1	1	1.64215e+06
4.081	2	2	1	1.64215e+06
4.121	1	1	1	1.64215e+06
4.121	2	2	1	1.64215e+06
4.161	1	1	1	1.64215e+06
4.161	2	2	1	1.64215e+06
4.201	1	1	1	1.64215e+06
4.201	2	2	1	1.64215e+06
4.241	1	1	1	1.64215e+06
4.241	2	2	1	1.64215e+06
4.281	1	1	1	1.64215e+06
4.281	2	2	1	1.64215e+06
4.321	1	1	1	1.64215e+06
4.321	2	2	1	1.64215e+06
4.361	1	1	1	1.64215e+06
4.361	2	2	1	1.64215e+06
4.401	1	1	1	1.64215e+06
4.401	2	2	1	1.64215e+06
4.441	1	1	1	1.64215e+06
4.441	2	2	1	1.64215e+06
4.481	1	1	1	1.64215e+06
4.481	2	2	1	1.64215e+06
4.521	1	1	1	1.64215e+06
4.521	2	2	1	1.64215e+06
4.561	1	1	1	1.64215e+06
4.561	2	2	1	1.64215e+06
4.601	1	1	1	1.64215e+06
4.601	2	2	1	1.64215e+06
4.641	1	1	1	1.64215e+06
4.641	2	2	1	1.64215e+06
4.681	1	1	1	1.64215e+06
4.681	2	2	1	1.64215e+06
4.721	1	1	1	1.64215e+06
4.721	2	2	1	1.64215e+06
4.761	1	1	1	1.64215e+06
4.761	2	2	1	1.64215e+06
4.801	1	1	1	1.64215e+06
4.801	2	2	1	1.64215e+06
4.841	1	1	1	1.64215e+06
4.841	2	2	1	1.64215e+06
4.881	1	1	1	1.64215e+06
4.881	2	2	1	1.64215e+06
4.921	1	1	1	1.64215e+06
4.921	2	2	1	1.64215e+06
4.961	1	1	1	1.64215e+06
4.961	2	2	1	1.64215e+06
5.001	1	1	1	1.64215e+06
5.001	2	2	1	1.64215e+06
5.041	1	1	1	1.64215e+06
5.041	2	2	1	1.64215e+06
5.081	1	1	1	1.64215e+06
5.081	2	2	1	1.64215e+06
5.121	1	1	1	1.64215e+06
5.121	2	2	1	1.64215e+06
5.161	1	1	1	1.64215e+06
5.161	2	2	1	1.64215e+06
5.201	1	1	1	1.64215e+06
5.201	2	2	1	1.64215e+06
5.241	1	1	1	1.64215e+06
5.241	2	2	1	1.64215e+06
5.281	1	1	1	1.64215e+06
5.281	2	2	1	1.64215e+06
5.321	1	1	1	1.64215e+06
5.321	2	2	1	1.64215e+06
5.361	1	1	1	1.64215e+06
5.361	2	2	1	1.64215e+06
5.401	1	1	1	1.64215e+06
5.401	2	2	1	1.64215e+06
5.441	1	1	1	1.64215e+06
5.441	2	2	1	1.64215e+06
5.481	1	1	1	1.64215e+06
5.481	2	2	1	1.64215e+06
5.521	1	1	1	1.64215e+06
5.521	2	2	1	1.64215e+06
5.561	1	1	1	1.64215e+06
5.561	2	2	1	1.64215e+06
5.601	1	1	1	1.64215e+06
5.601	2	2	1	1.64215e+06
5.641	1	1	1	1.64215e+06
5.641	2	2	1	1.64215e+06
